file_name,ground_truth,predicted_sentence,object_count,has_overlapping,relation_pair_type,anchor_object_accuracy,target1_object_accuracy,target2_object_accuracy,rel1_correct,rel2_correct,relation_error,attribute_error,error_type
img_13167.png,a small black circle is right of a big red triangle | a small black circle is right of a small green circle,a medium red triangle is below a medium red triangle | a medium red triangle is below a small red triangle,4,0,same_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_862.png,a small blue triangle is left of a medium blue triangle | a small blue triangle is left of a small yellow circle,a small blue triangle is right of a small blue triangle | a small blue triangle is above a small blue triangle,4,0,same_relation,1.0,0.0,0.0,0,0,1,1,mixed_error
img_5970.png,a big black circle is left of a small blue triangle | a big black circle is right of a small yellow square,a big black square is above a big black circle | a big black square is below a big black circle,4,0,mixed_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_6706.png,a medium yellow circle is above a medium yellow triangle | a medium yellow circle is right of a small yellow circle,a small yellow circle is below a medium yellow triangle | a small yellow circle is below a small yellow circle,5,0,mixed_relation,0.0,1.0,1.0,0,0,1,1,mixed_error
img_3017.png,a big black square is below a small red square | a big black square is right of a small black triangle,a small black triangle is right of a big black triangle | a small black triangle is above a big black triangle,4,0,mixed_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_3781.png,a medium blue circle is left of a small green square | a medium blue circle is overlapping a big yellow circle,a big blue circle is overlapping a big yellow triangle | a big blue circle is overlapping a big yellow triangle,3,1,mixed_relation,0.0,0.0,0.0,0,1,1,1,mixed_error
img_3898.png,a medium green square is above a medium green circle | a medium green square is above a big green triangle,a big green square is above a big green square | a big green square is right of a big green circle,5,0,same_relation,0.0,0.0,0.0,1,0,1,1,mixed_error
img_2250.png,a small black square is below a medium green circle | a small black square is below a big green square,a big black square is overlapping a big green circle | a big black square is overlapping a big green circle,3,0,same_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_542.png,a small blue square is right of a small black square | a small blue square is below a small yellow square,a small green circle is above a small green circle | a small green circle is below a small black circle,4,0,mixed_relation,0.0,0.0,0.0,0,1,1,1,mixed_error
img_4351.png,a small black square is overlapping a big yellow triangle | a small black square is right of a medium blue circle,a medium yellow triangle is overlapping a medium blue triangle | a medium yellow triangle is above a medium yellow triangle,3,1,mixed_relation,0.0,0.0,0.0,1,0,1,1,mixed_error
img_12807.png,a medium yellow circle is above a small blue square | a medium yellow circle is overlapping a small green square,a big red square is above a big yellow square | a big red square is below a big yellow square,5,1,mixed_relation,0.0,0.0,0.0,1,0,1,1,mixed_error
img_6631.png,a big blue triangle is overlapping a big red square | a big blue triangle is left of a small blue square,a big red square is overlapping a big red square | a big red square is overlapping a big blue square,5,1,mixed_relation,0.0,1.0,0.0,1,0,1,1,mixed_error
img_6705.png,a big green circle is below a medium red square | a big green circle is below a medium blue square,a big blue square is overlapping a big yellow square | a big blue square is overlapping a big yellow square,5,0,same_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_6978.png,a big blue triangle is below a small yellow circle | a big blue triangle is above a medium red triangle,a medium blue triangle is above a medium blue triangle | a medium blue triangle is above a medium yellow triangle,5,0,mixed_relation,0.0,0.0,0.0,0,1,1,1,mixed_error
img_7399.png,a small yellow triangle is above a medium black square | a small yellow triangle is above a big green triangle,a big green square is below a big green square | a big green square is overlapping a big green square,5,0,same_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_11119.png,a medium green triangle is above a small green square | a medium green triangle is right of a small blue square,a small green square is above a small green square | a small green square is above a small green triangle,4,0,mixed_relation,0.0,1.0,0.0,1,0,1,1,mixed_error
img_12665.png,a small red triangle is left of a medium red circle | a small red triangle is overlapping a small black triangle,a small red circle is above a small red circle | a small red circle is below a small red triangle,5,1,mixed_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_5304.png,a big red circle is overlapping a medium green circle | a big red circle is below a big yellow circle,a big yellow square is overlapping a big yellow square | a big yellow square is overlapping a big yellow square,3,1,mixed_relation,0.0,0.0,0.0,1,0,1,1,mixed_error
img_2312.png,a medium yellow triangle is above a medium yellow circle | a medium yellow triangle is above a big red triangle,a medium yellow triangle is overlapping a medium yellow triangle | a medium yellow triangle is overlapping a medium yellow triangle,3,0,same_relation,1.0,0.0,0.0,0,0,1,1,mixed_error
img_7040.png,a medium red triangle is left of a medium black square | a medium red triangle is left of a small red triangle,a medium red triangle is below a medium red triangle | a medium red triangle is below a medium black triangle,3,0,same_relation,1.0,0.0,0.0,0,0,1,1,mixed_error
img_1889.png,a big red triangle is right of a small yellow square | a big red triangle is right of a small blue triangle,a big red triangle is overlapping a big red triangle | a big red triangle is overlapping a big red triangle,4,0,same_relation,1.0,0.0,0.0,0,0,1,1,mixed_error
img_8991.png,a medium green triangle is right of a big blue square | a medium green triangle is overlapping a medium blue square,a big blue square is above a big blue square | a big blue square is above a big blue square,5,1,mixed_relation,0.0,1.0,0.0,0,0,1,1,mixed_error
img_169.png,a big blue triangle is overlapping a medium black triangle | a big blue triangle is left of a small red circle,a big black circle is below a big black circle | a big black circle is below a small black square,5,1,mixed_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_1795.png,a big black square is left of a small blue square | a big black square is below a big yellow triangle,a big yellow triangle is below a big yellow triangle | a big yellow triangle is below a big yellow triangle,4,0,mixed_relation,0.0,0.0,1.0,0,1,1,1,mixed_error
img_3975.png,a small blue square is above a small yellow circle | a small blue square is right of a big yellow triangle,a big red circle is below a big red square | a big red circle is below a big red square,5,0,mixed_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_6820.png,a big yellow triangle is below a small blue circle | a big yellow triangle is right of a small blue square,a small blue triangle is right of a small blue triangle | a small blue triangle is above a small blue triangle,3,0,mixed_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_7826.png,a small green square is above a medium green circle | a small green square is overlapping a small black triangle,a medium green circle is above a medium green circle | a medium green circle is below a medium green square,5,1,mixed_relation,0.0,1.0,0.0,1,0,1,1,mixed_error
img_11809.png,a medium black circle is above a medium black circle | a medium black circle is above a big black square,a big black square is overlapping a big black square | a big black square is above a big black square,3,0,same_relation,0.0,0.0,1.0,0,1,1,1,mixed_error
img_1039.png,a big black square is left of a small yellow circle | a big black square is overlapping a small red triangle,a small black triangle is below a small blue triangle | a small black triangle is below a small black triangle,4,1,mixed_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
img_2848.png,a medium blue circle is above a medium blue circle | a medium blue circle is right of a big green triangle,a medium blue triangle is below a medium blue triangle | a medium blue triangle is above a medium blue triangle,4,0,mixed_relation,0.0,0.0,0.0,0,0,1,1,mixed_error
